FileName,ElevationM,Date,Lat,Lon,DamLength,Notes,Area,Mapper,State,MapperID
Area1Dam62,1738.00,4/1/2013,35.9609960,-118.1731920,83.7,Not sure if one large dam or a couple small dams connected,1,BO,CA,A
Area1Dam63,1738.00,4/1/2013,35.9612400,-118.1740010,34.5,,1,BO,CA,A
Area1Dam64,1738.00,4/1/2013,35.9609510,-118.1759870,9.6,Looks likie an old submerged dam,1,BO,CA,A
Area1Dam65,1741.00,4/1/2013,35.9610330,-118.1777310,6.5,,1,BO,CA,A
Area1Dam66,1740.00,4/1/2013,35.9610140,-118.1780940,23.0,,1,BO,CA,A
Area1Dam67,1742.00,4/1/2013,35.9603560,-118.1791060,7.0,,1,BO,CA,A
Area1Dam68,1741.00,4/1/2013,35.9602890,-118.1792570,17.3,,1,BO,CA,A
Area1Dam69,1743.00,4/1/2013,35.9600630,-118.1801910,25.6,,1,BO,CA,A
Area1Dam70,1744.00,4/1/2013,35.9599620,-118.1807120,37.5,,1,BO,CA,A
Area1Dam71,1745.00,4/1/2013,35.9603530,-118.1837100,10.4,,1,BO,CA,A
Area1Dam72,1758.00,4/1/2013,35.9708610,-118.1853410,17.3,,1,BO,CA,A
Area1Dam73,1759.00,4/1/2013,35.9697340,-118.1879910,26.6,Not sure if dam,1,BO,CA,A
Area1Dam74,1760.00,4/1/2013,35.9702090,-118.1890350,4.0,,1,BO,CA,A
Area1Dam75,1762.00,4/1/2013,35.9717600,-118.1897650,2.5,Not sure if dam,1,BO,CA,A
Area1Dam76,1765.00,4/1/2013,35.9751190,-118.1904220,4.1,,1,BO,CA,A
Area1Dam77,1766.00,4/1/2013,35.9760630,-118.1918370,5.3,,1,BO,CA,A
Area1Dam78,1768.00,4/1/2013,35.9784830,-118.1913710,14.2,,1,BO,CA,A
Area1Dam79,1730.00,4/1/2013,35.9442170,-118.1723440,18.0,,1,BO,CA,A
Area1Dam80,1731.00,4/1/2013,35.9447460,-118.1729390,8.2,looks like this used to be a dam,1,BO,CA,A
Area1Dam81,1734.00,4/1/2013,35.9459010,-118.1740480,7.7,"Not sure if dam, maybe broken one",1,BO,CA,A
Area1Dam82,1734.00,4/1/2013,35.9461370,-118.1743960,12.4,Looks likeit may have been longer in the past,1,BO,CA,A
Area1Dam83,1734.00,4/1/2013,35.9459240,-118.1745430,8.4,Maybe connected to Dam82?,1,BO,CA,A
Area1Dam84,1735.00,4/1/2013,35.9455770,-118.1755550,14.9,,1,BO,CA,A
Area1Dam85,1735.00,4/1/2013,35.9460640,-118.1759230,4.7,,1,BO,CA,A
Area1Dam86,1737.00,4/1/2013,35.9471960,-118.1771910,34.2,Interesting shape,1,BO,CA,A
Area1Dam87,1739.00,4/1/2013,35.9479050,-118.1778470,12.2,Possible dam,1,BO,CA,A
Area1Dam88,1741.00,4/1/2013,35.9499150,-118.1783690,10.5,,1,BO,CA,A
Area1Dam89,1741.00,4/1/2013,35.9501600,-118.1784760,34.8,,1,BO,CA,A
Area1Dam90,1756.00,7/1/2016,35.9528070,-118.1896130,33.7,,1,BO,CA,A
Area1Dam91,1760.00,4/1/2013,35.9543420,-118.1917240,11.7,Looks like wawter made its way around the dam,1,BO,CA,A
Area1Dam92,1760.00,4/1/2013,35.9546630,-118.1921690,17.0,,1,BO,CA,A
Area1Dam93,1770.00,4/1/2013,35.9578120,-118.1951530,15.7,,1,BO,CA,A
Area1Dam94,1770.00,4/1/2013,35.9581550,-118.1967630,21.2,,1,BO,CA,A
Area1Dam95,1770.00,4/1/2013,35.9585120,-118.1970390,22.8,,1,BO,CA,A
Area1Dam96,1730.00,4/1/2013,35.9561110,-118.1603390,9.4,,1,BO,CA,A
Area1Dam97,1730.00,4/1/2013,35.9565540,-118.1604630,15.5,,1,BO,CA,A
Area1Dam98,1730.00,4/1/2013,35.9571380,-118.1608490,17.0,Was there in 2013 and broken in 2016,1,BO,CA,A
Area1Dam99,1730.00,7/1/2016,35.9580490,-118.1618970,10.2,,1,BO,CA,A
Area1Dam100,1731.00,4/1/2013,35.9585510,-118.1623750,22.8,,1,BO,CA,A
Area1Dam101,1731.00,4/1/2013,35.9596780,-118.1629910,11.6,,1,BO,CA,A
